Tue Jan 01 17:51:36 CET 2019,,1
Tue Jan 01 19:09:34 CET 2019,,1
Tue Jan 01 19:10:38 CET 2019,DrippySoap,2
Tue Jan 01 19:16:51 CET 2019,itsdeeperinside,2
Tue Jan 01 19:22:37 CET 2019,,1
Tue Jan 01 21:18:15 CET 2019,,1
Tue Jan 01 21:44:53 CET 2019,Felipez360,2
Wed Jan 02 00:30:23 CET 2019,,1
Wed Jan 02 00:32:51 CET 2019,Jon_Landini,2
Wed Jan 02 00:46:39 CET 2019,noa_pls,2
Wed Jan 02 01:25:18 CET 2019,,1
Wed Jan 02 01:36:20 CET 2019,alexgimenez02,2
Wed Jan 02 06:15:13 CET 2019,,1
Wed Jan 02 13:59:53 CET 2019,Attach,2
Wed Jan 02 14:40:39 CET 2019,DrippySoap,2
Wed Jan 02 14:51:14 CET 2019,,1
Wed Jan 02 16:41:06 CET 2019,sonridesigual,2
Wed Jan 02 16:44:19 CET 2019,,1
Wed Jan 02 16:45:47 CET 2019,7alex_torres,2
Wed Jan 02 17:52:19 CET 2019,jpedrerol,2
Wed Jan 02 18:18:50 CET 2019,zawaru3,2
Wed Jan 02 18:33:53 CET 2019,,1
Wed Jan 02 18:47:19 CET 2019,Giorgerepe,2
Wed Jan 02 22:11:06 CET 2019,,1
Wed Jan 02 23:10:22 CET 2019,LordChachi,2
Wed Jan 02 23:35:34 CET 2019,,1
Thu Jan 03 01:06:00 CET 2019,,1
Thu Jan 03 04:58:39 CET 2019,,1
Thu Jan 03 05:36:17 CET 2019,,1
Thu Jan 03 05:55:18 CET 2019,Lgend1,2
Thu Jan 03 14:44:16 CET 2019,LVPes,2
Thu Jan 03 15:45:20 CET 2019,,1
Thu Jan 03 15:48:01 CET 2019,MarkNineZ,2
Thu Jan 03 17:02:16 CET 2019,cxvtvre_,2
Thu Jan 03 17:18:09 CET 2019,cxvtvre_,2
Thu Jan 03 18:38:20 CET 2019,HolaSoySergio__,2
Thu Jan 03 19:14:40 CET 2019,riquiardo12,2
Thu Jan 03 19:17:02 CET 2019,Proviup,2
Thu Jan 03 19:24:10 CET 2019,con_sciense,2
Thu Jan 03 19:38:12 CET 2019,,1
Thu Jan 03 20:59:45 CET 2019,RomeGulere,2
Thu Jan 03 21:39:30 CET 2019,leyrexlopez,2
Thu Jan 03 21:45:34 CET 2019,,1
Thu Jan 03 22:15:08 CET 2019,,1
Thu Jan 03 22:51:52 CET 2019,RotoChop_,2
Thu Jan 03 23:45:09 CET 2019,,1
Fri Jan 04 01:18:23 CET 2019,,1
Fri Jan 04 05:10:37 CET 2019,IbaiLlanos,2
Fri Jan 04 05:13:26 CET 2019,CuIazo,2
Fri Jan 04 05:21:59 CET 2019,sanbenito,2
Fri Jan 04 14:06:21 CET 2019,leninistfenix,2
Fri Jan 04 14:20:03 CET 2019,Albert_Edero,2
Fri Jan 04 14:46:05 CET 2019,,1
Fri Jan 04 14:50:12 CET 2019,lazypopa,2
Fri Jan 04 15:06:18 CET 2019,Giorgerepe,2
Fri Jan 04 15:44:40 CET 2019,mariolilpump1,2
Fri Jan 04 16:10:03 CET 2019,JonRUrk,2
Fri Jan 04 16:12:39 CET 2019,JonRUrk,2
Fri Jan 04 16:14:12 CET 2019,JonRUrk,2
Fri Jan 04 16:23:35 CET 2019,prankmydog,2
Fri Jan 04 16:29:49 CET 2019,,1
Fri Jan 04 18:36:36 CET 2019,Esportmaniacos,2
Fri Jan 04 18:41:30 CET 2019,Esportmaniacos,2
Fri Jan 04 19:29:58 CET 2019,,1
Fri Jan 04 19:32:00 CET 2019,not_sigfride,2
Fri Jan 04 19:34:01 CET 2019,,1
Fri Jan 04 20:07:43 CET 2019,,1
Fri Jan 04 20:18:23 CET 2019,auronplay,2
Fri Jan 04 20:20:40 CET 2019,SapitoCloud,2
Fri Jan 04 20:28:55 CET 2019,auronplay,2
Fri Jan 04 20:31:01 CET 2019,RodSquare_,2
Fri Jan 04 20:42:15 CET 2019,,1
Fri Jan 04 21:45:48 CET 2019,,1
Fri Jan 04 22:27:41 CET 2019,EvilAFM,2
Fri Jan 04 22:30:25 CET 2019,MaterialistBoy,2
Fri Jan 04 23:06:57 CET 2019,robderiz,2
Fri Jan 04 23:16:25 CET 2019,,1
Fri Jan 04 23:17:57 CET 2019,Raskyperro,2
Fri Jan 04 23:18:38 CET 2019,prankmydog,2
Sat Jan 05 03:40:25 CET 2019,,1
Sat Jan 05 14:18:30 CET 2019,,1
Sat Jan 05 15:22:54 CET 2019,,1
Sat Jan 05 15:46:07 CET 2019,,1
Sat Jan 05 17:12:35 CET 2019,JonRUrk,2
Sat Jan 05 17:13:33 CET 2019,Luismilwaukee,2
Sat Jan 05 17:43:49 CET 2019,,1
Sat Jan 05 17:46:25 CET 2019,Suridice,2
Sat Jan 05 19:12:18 CET 2019,cayetanaAT,2
Sat Jan 05 19:52:46 CET 2019,,1
Sat Jan 05 21:56:44 CET 2019,,1
Sat Jan 05 22:36:48 CET 2019,ElCarlossssSs,2
Sat Jan 05 23:47:51 CET 2019,,1
Sat Jan 05 23:49:00 CET 2019,,1
Sun Jan 06 00:42:38 CET 2019,Rogermartismo,2
Sun Jan 06 00:53:35 CET 2019,,1
Sun Jan 06 00:55:17 CET 2019,Goorgo,2
Sun Jan 06 05:19:06 CET 2019,compte_98,2
Sun Jan 06 05:36:23 CET 2019,,1
Sun Jan 06 05:43:48 CET 2019,Raskyperro,2
Sun Jan 06 11:57:38 CET 2019,,1
Sun Jan 06 13:08:33 CET 2019,MundoMaldini,2
Sun Jan 06 13:12:02 CET 2019,Eloim_c,2
Sun Jan 06 13:39:42 CET 2019,,1
Sun Jan 06 16:06:40 CET 2019,ImFebrer,2
Sun Jan 06 16:06:50 CET 2019,Spursito,2
